,Drug_ID,Drug,Y
70,Drug 332,c1ccc(OCCOc2ccccc2)cc1,0.0
71,Drug 333,CCCCCCCC1CCC(=O)O1,0.0
72,Drug 338,CCCCC(CC)CO,0.0
73,Drug 339,COc1ccc2sc(C(=O)Nc3nnn[n-]3)c(OC(C)C)c2c1.[Na+],1.0
74,Drug 361,CCCC1CCC(=O)O1,0.0
75,Drug 368,CCOC(=O)CC,0.0
76,Drug 371,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,1.0
77,Drug 376,C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,0.0
78,Drug 378,CCOC(=O)CC(=O)OCC,0.0
79,Drug 379,CCCC(=O)OCC,0.0
80,Drug 380,CCNC(=S)NCC,0.0
81,Drug 386,O=C1CCCCCN1,0.0
82,Drug 388,CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc(O)cc2C1=O,1.0
83,Drug 392,Cc1ccc(O)c(C)c1,0.0
84,Drug 397,CC(=O)OC/C=C(\C)CCC=C(C)C,0.0
85,Drug 404,CCCCOC(=O)CCCCC(=O)OCCCC,0.0
86,Drug 408,COC(=O)Nc1nc2ccccc2[nH]1,1.0
87,Drug 412,CCOc1cccc(-n2cc(C(=O)N3CCN(c4cc(C(=O)[O-])c5ccccc5c4)CC3)nc2-c2ccc(C)cc2)c1.[Na+],1.0
88,Drug 417,CC(C)=CCCC(C)CCO,0.0
89,Drug 418,CC(C)=CCCC(C)CC=O,0.0
90,Drug 419,CC(C)=CCC/C(C)=C/CO,0.0
91,Drug 420,CC(C)=CCC/C(C)=C\CO,0.0
92,Drug 422,CCCC(=O)OCCC(C)C,0.0
93,Drug 425,CCCCCCC(=O)OCC,0.0
94,Drug 434,Cc1ccc(Cl)cc1,0.0
95,Drug 435,Cc1ccc(O)cc1,0.0
96,Drug 436,Cc1ccc(S)cc1,1.0
97,Drug 438,Clc1ccc(Cl)cc1,0.0
98,Drug 439,Nc1ccc(Cl)cc1,1.0
99,Drug 440,Oc1ccc(Cl)cc1,0.0
100,Drug 441,Cc1ccc(N)cc1,0.0
101,Drug 442,Nc1ccc(N)cc1,1.0
102,Drug 449,COC(=O)CCC(=O)OC,0.0
103,Drug 450,CCCCCC(=O)CC,0.0
104,Drug 454,CCC[Si](OC)(OC)OC,0.0
105,Drug 458,C=C[Si](OCCOC)(OCCOC)OCCOC,0.0
106,Drug 462,C1CC2OC2CC1C1CO1,0.0
107,Drug 464,Cc1nc(-c2ccccn2)ncc1C(=O)Nn1cc(C)c2cc(F)ccc21,0.0
108,Drug 468,BrCCBr,0.0
109,Drug 481,OCCCl,0.0
110,Drug 484,C=CC#N,0.0
111,Drug 487,C=CCO,0.0
112,Drug 490,O=CCCl,1.0
113,Drug 491,OCCO,0.0
114,Drug 492,CCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0
115,Drug 498,COCCl,0.0
116,Drug 504,CC(O)CC(C)(C)O,0.0
117,Drug 507,C[Si](C)(C)O[Si](C)(C)C,0.0
118,Drug 510,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,0.0
119,Drug 511,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,1.0
120,Drug 512,C#CC(C)(O)CC(C)C,0.0
121,Drug 518,O=C(O)C1CCC(C(=O)O)CC1,0.0
122,Drug 524,CC(CC=O)CCCC(C)(C)O,0.0
123,Drug 530,CCCC(C)=O,0.0
124,Drug 531,CC(O)CCO,0.0
125,Drug 532,CCCC(=O)O,0.0
126,Drug 535,COCC(C)O,0.0
127,Drug 536,CN(C)CCO,0.0
128,Drug 543,CC(C)CC(C)O,0.0
129,Drug 551,CC(=O)OC(C)C,0.0
130,Drug 558,CC1COC(=O)O1,0.0
131,Drug 561,Cc1cccc(C)c1,0.0
132,Drug 562,Cc1cccc(O)c1,0.0
133,Drug 565,Cc1cccc(N)c1,0.0
134,Drug 566,Nc1cccc(N)c1,0.0
135,Drug 567,Oc1cccc(O)c1,0.0
136,Drug 570,CCCCCCCOC(=O)c1ccc(O)cc1,1.0
137,Drug 572,COC(=O)CC(=O)OC,0.0
138,Drug 578,Cc1cc(C)cc(C)c1,0.0
139,Drug 579,Cc1cc(C)cc(O)c1,0.0
140,Drug 583,Clc1nc(Cl)nc(Cl)n1,0.0
141,Drug 585,Oc1nc(O)nc(O)n1,0.0
142,Drug 588,CC(C)CC(=O)CC(C)C,0.0
143,Drug 595,NC1CCCCC1,0.0
144,Drug 597,OC1CCCCC1,0.0
145,Drug 598,O=C1CCCCC1,0.0
146,Drug 599,Oc1ccccc1,0.0
147,Drug 600,Sc1ccccc1,0.0
148,Drug 602,CN1CCOCC1,0.0
149,Drug 617,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,0.0
150,Drug 618,CCCCNC(=S)NCCCC,0.0
151,Drug 619,CCCCC(=O)O,0.0
152,Drug 622,CN(C)CCCN,0.0
153,Drug 624,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1.Cl,1.0
154,Drug 633,N#CCC#N,1.0
155,Drug 640,COCCO,0.0
156,Drug 650,CC(C)(C)OOC(C)(C)C,0.0
157,Drug 653,CC(=O)CCC(C)C,0.0
158,Drug 656,O=C(O)CCC(=O)O,0.0
159,Drug 657,O=C(O)/C=C\C(=O)O,0.0
160,Drug 658,O=C(O)/C=C/C(=O)O,0.0
161,Drug 663,CC#Cc1cc(C)nc(Nc2ccccc2)n1,0.0
162,Drug 665,CCCCCCCC/C=C\CCCCCCCC(=O)N(C)CC(=O)O,1.0
163,Drug 666,C=CC(=O)NCNC(=O)C=C,0.0
164,Drug 667,CCCCCCCCCCCCCC(=O)OC(C)C,0.0
165,Drug 668,CCCCCCOC(=O)CCCCC(=O)OCCCCCC,0.0
166,Drug 674,CCCCCCCCCC(=O)OC,0.0
167,Drug 675,CCCCCC(C)=O,0.0
168,Drug 676,C/C=C/C=C/C(=O)O,0.0
169,Drug 678,COc1ccc(C(=CC(=O)N2CCOCC2)c2ccc(Cl)cc2)cc1OC,0.0
170,Drug 687,CCCCC=O,0.0
171,Drug 688,OCCCCO,0.0
172,Drug 689,OCC#CCO,0.0
173,Drug 691,CCCC=NO,0.0
174,Drug 693,CCNCCO,0.0
175,Drug 695,CCOCCO,0.0
176,Drug 698,C1CNCCN1,0.0
177,Drug 701,C1=COCCC1,0.0
178,Drug 704,C1COCCN1,0.0
179,Drug 711,CC(O)CNCC(C)O,0.0
180,Drug 717,CCCCCCCC(=O)OC,1.0
181,Drug 719,CCCCCCC(=O)O,0.0
182,Drug 720,CCOCCOC(C)=O,0.0
183,Drug 723,NC(=O)[O-].[NH4+],0.0
184,Drug 725,O=C(O)CCCCCCCCC(=O)O,0.0
185,Drug 726,CC(=O)OCCOCCOCCOC(C)=O,0.0
186,Drug 727,CO[Si](C)(C)OC,0.0
187,Drug 731,CCCCCCO,0.0
188,Drug 734,O=CCCCC=O,1.0
189,Drug 739,NCCNCCN,0.0
190,Drug 742,OCCNCCO,0.0
191,Drug 745,ClCCOCCCl,0.0
192,Drug 746,OCCOCCO,0.0
193,Drug 748,CCCCN(CC)C(=O)SCCC,0.0
194,Drug 750,C1CCCNCC1,0.0
195,Drug 752,CC(=O)OCCOC(C)=O,0.0
196,Drug 755,CCCCCCCC/C=C\CCCCCCCC(=O)OCC,0.0
197,Drug 762,N#CCCCCC#N,0.0
198,Drug 764,CCCCCCCO,0.0
199,Drug 765,CCCCCCC=O,0.0
200,Drug 767,CCCCOCCO,0.0
201,Drug 768,COCCOCCO,0.0
202,Drug 773,Cc1nn(C)c(Oc2ccccc2)c1C=NOCc1ccc(C(=O)OC(C)(C)C)cc1,1.0
203,Drug 775,CCCCCCCCCCCC(=O)OC,0.0
204,Drug 779,CCCCCCCCC,0.0
205,Drug 780,CCCC[Sn](Cl)(Cl)Cl,0.0
206,Drug 784,CCCCCCCCO,0.0
207,Drug 786,CCCCCCCC(=O)N(C)C,0.0
208,Drug 787,CCOCCOCCO,0.0
209,Drug 790,COC(=O)CCCC(=O)OC,0.0
210,Drug 793,COCCOCCOC,0.0
211,Drug 797,N#C/N=C1\SCCN1Cc1ccc(Cl)nc1,0.0
212,Drug 798,COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2ncccc2C(=O)N(C)C)n1,0.0
213,Drug 801,CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0
214,Drug 802,CCCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.0
215,Drug 803,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],1.0
216,Drug 804,CCCCCCCCCCC,0.0
217,Drug 808,CCCCCCCCC(=O)O,0.0
218,Drug 810,O=S1(=O)CCCO1,0.0
219,Drug 811,CCCCOCCOC(C)=O,0.0
220,Drug 813,CCCCCCCCCC(C)=O,0.0
221,Drug 814,CCCCCCCCOC(C)=O,0.0
222,Drug 820,CCCCCCCCCCCCN(C)C,0.0
223,Drug 823,CC(C)(C)N(NC(=O)c1ccc(Cl)cc1)C(=O)c1ccccc1,0.0
224,Drug 825,CCCCCCOCCO,0.0
225,Drug 829,OCCOCCOCCO,0.0
226,Drug 830,FC(F)C(F)(F)OCC(Cn1cncn1)c1ccc(Cl)cc1Cl,1.0
227,Drug 832,CCCCCCCCCCO,0.0
228,Drug 833,CCCCCCCCCC=O,0.0
229,Drug 834,CCCCOCCOCCO,0.0
230,Drug 835,COCCOCCOCCO,0.0
231,Drug 839,C=CCCCCCCCCC(=O)O,0.0
232,Drug 847,CCc1ccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)cc1,0.0
233,Drug 850,CCCCCCCCCCCO,1.0
234,Drug 856,COCCOCCOCCOC,0.0
235,Drug 857,CCOCCOCCOCCO,0.0
236,Drug 860,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1.Cl,0.0
237,Drug 861,CCCCCCCCCCCCO,1.0
238,Drug 862,CCCCCCCCCCCCS,0.0
239,Drug 866,OCCOCCOCCOCCO,0.0
240,Drug 868,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC,1.0
241,Drug 873,CCCCCCCCCCCCCO,0.0
242,Drug 875,CCCCCCCCCCCCCCO,0.0
243,Drug 877,O=C(O)Cn1c(=O)n(Cc2ccc(Br)cc2F)c(=O)c2ccc(Cl)cc21,0.0
244,Drug 879,CCCCCCCC/C=C\CCCCCCCC(=O)O,1.0
245,Drug 880,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,0.0
246,Drug 893,O=C(O)C1(C(=O)Nc2ccc(Cl)cc2Cl)CC1,0.0
247,Drug 899,CCSC(=O)N(CC)C1CCCCC1,0.0
248,Drug 902,CCCCC(CC)CN1C(=O)C2C3C=CC(C3)C2C1=O,1.0
249,Drug 910,CC(Cc1ccc(OCC(=O)O)cc1)NCC(O)c1csc(C(F)(F)F)n1,0.0
250,Drug 920,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,0.0
251,Drug 922,CNC(=O)Oc1ccccc1OC(C)C,0.0
252,Drug 923,COCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,0.0
253,Drug 924,O=C1c2c(O)cccc2Cc2cccc(O)c21,0.0
254,Drug 925,N#CC(CCc1ccc(Cl)cc1)(Cn1cncn1)c1ccccc1,0.0
255,Drug 954,O=C(O)C1C(C(=O)O)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,0.0
256,Drug 955,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,1.0
257,Drug 957,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,1.0
258,Drug 962,O=S1(=O)OC(c2cc(Br)c(O)c(Br)c2)(c2cc(Br)c(O)c(Br)c2)c2ccccc21,0.0
259,Drug 969,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,0.0
260,Drug 973,OCC(CO)(CO)CO,0.0
261,Drug 976,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,1.0
262,Drug 980,C=CC(C)(CCC=C(C)C)OC(C)=O,0.0
263,Drug 982,O=P(OCCCl)(OCCCl)OCCCl,0.0
264,Drug 984,CC1CC(O)CC(C)(C)C1,0.0
265,Drug 985,CNC(=O)ON=CC(C)(C)SC,0.0
266,Drug 989,Clc1ccc(C2(Cn3cncn3)CC(Br)CO2)c(Cl)c1,0.0
267,Drug 990,CC1(C)C(=O)NC(=O)N1CO,0.0
268,Drug 1007,CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,1.0
269,Drug 1010,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(OC(F)(F)C(F)OC(F)(F)F)c(Cl)c1,0.0
270,Drug 1013,O=C1OC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,0.0
271,Drug 1020,COC(=O)CSc1cc(/N=c2\sc(=O)n3n2CCCC3)c(F)cc1Cl,0.0
272,Drug 1023,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,0.0
273,Drug 1025,CO/C=C(/C(=O)OC)c1ccccc1COc1cccc(C(F)(F)F)n1,0.0
274,Drug 1030,COC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C2=NCCS2)c1CC(C)C,0.0
275,Drug 1032,Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,0.0
276,Drug 1033,O=C1C(Cl)=C(Cl)C(=O)c2ccccc21,1.0
277,Drug 1034,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,0.0
278,Drug 1038,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0.0
279,Drug 1042,O=C(c1ccccc1)c1ccccc1O,1.0
280,Drug 1047,CCCN(CC)CC1COC2(CCC(C(C)(C)C)CC2)O1,1.0
281,Drug 1056,O=C(O)C1=NN(c2ccc(S(=O)(=O)O)cc2)C(=O)C1,0.0
282,Drug 1059,CC1(C)C(=O)N(Cl)C(=O)N1Cl,0.0
283,Drug 1062,O=C(Oc1ccccc1)c1ccccc1O,0.0
284,Drug 1063,CC1CC(OC(=O)c2ccccc2O)CC(C)(C)C1,1.0
285,Drug 1065,O=C(OCc1ccccc1)c1ccccc1O,1.0
286,Drug 1074,Cc1occc(=O)c1O,0.0
287,Drug 1078,Oc1c(Br)cc(Br)cc1Br,0.0
288,Drug 1079,CC(C)(C)c1cc(Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,0.0
289,Drug 1085,C=C(C)C(=O)OCCC(C)OC(=O)C(=C)C,0.0
290,Drug 1089,CC(=O)c1ccccc1O,0.0
291,Drug 1091,CCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0.0
292,Drug 1096,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],1.0
293,Drug 1098,CCc1nn(C)c(C(=O)NCc2ccc(C(C)(C)C)cc2)c1Cl,1.0
294,Drug 1104,O=c1ssc(Cl)c1Cl,0.0
295,Drug 1114,COC(=O)c1ccccc1O,0.0
296,Drug 1121,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,1.0
297,Drug 1122,N#Cc1c(Cl)cccc1Cl,0.0
298,Drug 1123,Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,1.0
299,Drug 1125,CCC(C)OC(=O)N1CCCCC1CCO,0.0
300,Drug 1127,O=C(c1ccccc1)C(O)c1ccccc1,0.0
301,Drug 1131,O=C(c1ccccc1)c1ccccc1,0.0
302,Drug 1132,c1ccc2c(c1)CCCC2,0.0
303,Drug 1140,COc1cc(-c2ccc(N)c(OC)c2)ccc1N,0.0
304,Drug 1141,Cc1cc(-c2ccc(N)c(C)c2)ccc1N,0.0
305,Drug 1144,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,1.0
306,Drug 1147,Cc1ccc(-c2c(Cl)nc(C#N)n2S(=O)(=O)N(C)C)cc1,1.0
307,Drug 1148,c1ccc2cc3ccccc3cc2c1,0.0
308,Drug 1149,COc1ccc(C=O)cc1OC,0.0
309,Drug 1150,O=S(=O)(O)c1ccc2ccccc2c1,0.0
310,Drug 1155,Oc1ccc(Cl)cc1Cc1ccccc1,1.0
311,Drug 1156,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,0.0
312,Drug 1162,O=C(CC(=O)c1ccccc1)c1ccccc1,0.0
313,Drug 1163,CCOC(=O)c1ccc(O)cc1,0.0
314,Drug 1165,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,0.0
315,Drug 1166,O=C(OCc1ccccc1)c1ccccc1,1.0
316,Drug 1168,O=C(OCCOCCOC(=O)c1ccccc1)c1ccccc1,0.0
317,Drug 1170,O=C(OCCOCCOCCOC(=O)c1ccccc1)c1ccccc1,0.0
318,Drug 1173,COC(=O)c1ccc(C(=O)OC)cc1,0.0
319,Drug 1176,CN(C)Cc1ccccc1O,0.0
320,Drug 1180,COc1ccc(C)cc1N,0.0
321,Drug 1181,c1ccc2[nH]ccc2c1,0.0
322,Drug 1184,Oc1ccccc1O,1.0
323,Drug 1185,Clc1ccc(Cl)c(Cl)c1,0.0
324,Drug 1187,Oc1ccc(Cl)cc1Cl,0.0
325,Drug 1189,O=C1CCCC1,0.0
326,Drug 1193,CCC(C)(C)c1ccc(O)c(C(C)(C)CC)c1,1.0
327,Drug 1197,COc1ccc(O)c(C(C)(C)C)c1,1.0
328,Drug 1204,CC1C=[C-]C=C1.[C-]#[O+].[C-]#[O+].[C-]#[O+].[Mn+],0.0
329,Drug 1206,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],0.0
330,Drug 1214,CCOc1cc(C=O)ccc1O,0.0
331,Drug 1215,COc1cc(C=O)ccc1O,0.0
332,Drug 1216,CCOC(=O)C1OC1c1ccccc1,0.0
333,Drug 1217,c1ccc(CNc2[nH]cnc3ncnc2-3)cc1,1.0
334,Drug 1222,Cc1cc(C2CC2)nc(Nc2ccccc2)n1,1.0
335,Drug 1230,CN(C)c1ccccc1,0.0
336,Drug 1234,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,0.0
337,Drug 1236,CCCOC(=O)c1cc(O)c(O)c(O)c1,1.0
338,Drug 1245,O=C(O)c1cccc(C(=O)O)c1,0.0
339,Drug 1248,CCCCCCCCOC(=O)c1ccc(O)cc1,1.0
340,Drug 1251,CCCCOC(=O)[C@@H](C)Oc1ccc(Oc2ccc(C#N)cc2F)cc1,1.0
341,Drug 1259,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,0.0
342,Drug 1264,CC(O)CN(CC(C)O)CC(C)O,0.0
343,Drug 1270,CCNc1nc(Cl)nc(NCC)n1,0.0
344,Drug 1272,c1ccc(Nc2ccccc2)cc1,0.0
345,Drug 1273,CCCCCC(C=O)=Cc1ccccc1,1.0
346,Drug 1274,CC(C)OC(=O)Nc1ccccc1,0.0
347,Drug 1275,CCOCn1c(-c2ccc(Cl)cc2)c(C#N)c(Br)c1C(F)(F)F,1.0
348,Drug 1280,CCOC(OCC)OCC,0.0
349,Drug 1285,CC(=O)C=Cc1ccccc1,0.0
350,Drug 1292,c1ccc(NNc2ccccc2)cc1,0.0
351,Drug 1299,O=CCc1ccccc1,1.0
352,Drug 1303,Cc1nn(-c2cc(NS(C)(=O)=O)c(Cl)cc2Cl)c(=O)n1C(F)F,0.0
353,Drug 1306,O=C(O)COc1ccc(Cl)cc1,0.0
354,Drug 1314,OCCOc1ccccc1,0.0
355,Drug 1315,NCCCN1CCOCC1,0.0
356,Drug 1321,CCCCC(C=O)CC,0.0
357,Drug 1322,CCc1ccc(O)cc1,0.0
358,Drug 1324,COc1ccc(C=O)cc1,0.0
359,Drug 1325,COCCOC[C@H](CC1(C(=O)N[C@H]2CC[C@@H](C(=O)O)CC2)CCCC1)C(=O)Oc1ccc2c(c1)CCC2,0.0
360,Drug 1327,CC(C)CC(C)CC(O)CC(C)C,0.0
361,Drug 1330,CCOC(=O)CCC(=O)OCC,0.0
362,Drug 1334,CC1=NNC(=O)N(/N=C/c2cccnc2)C1,0.0
363,Drug 1336,Oc1ccc(O)cc1,1.0
364,Drug 1337,O=c1ccc(=O)[nH][nH]1,0.0
365,Drug 1340,COc1cc(OC)nc(Sc2cccc(Cl)c2C(=O)[O-])n1.[Na+],0.0
366,Drug 1341,C=CC(=C)CCC=C(C)C,0.0
367,Drug 1344,CC(=O)CC(C)(C)O,0.0
368,Drug 1355,CCCCCC(=O)OCC,0.0
369,Drug 1359,NC(=O)N=NC(N)=O,0.0
370,Drug 1363,CC(=O)OCCC(C)C,0.0
371,Drug 1367,CCCCCCC(C)O,0.0
372,Drug 1368,O=C(O)CCCCCCCC(=O)O,0.0
373,Drug 1371,O=C(O)CCCCC(=O)O,0.0
374,Drug 1374,CCCCCCCC(=O)O,0.0
375,Drug 1375,NCCCCCCN,0.0
376,Drug 1378,CCCCCCCC=O,0.0
377,Drug 1380,CCCCCCCCCC,0.0
378,Drug 1381,CCCCC(CC)COP(=O)(Oc1ccccc1)Oc1ccccc1,1.0
379,Drug 1382,CCCCCCCCC=O,0.0
380,Drug 1383,CCCCCCCCCCCCN,1.0
381,Drug 1385,S=C([S-])NCCNC(=S)[S-].[Mn+2],0.0
382,Drug 1387,CN(C(=O)Cc1cccc2occc12)[C@H]1CC[C@@]2(CCCO2)C[C@@H]1N1CCCC1,0.0
383,Drug 1388,CNC,0.0
384,Drug 1392,Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1,1.0
